Citing Journal Data,,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,,2007,Rest
78,1.481,ECON MODEL,7,0,0,2,1,0,3,1,0,0,,0,0
79, ,ELEMENTS STAT LEARNI,7,0,0,0,0,0,0,0,5,0,,0,2
80, ,FED RESERVE BANK,7,0,0,0,0,0,0,1,0,0,,0,6
81,1.363,INSUR MATH ECON,7,0,0,0,0,0,1,2,0,0,,0,4
82, ,INT J ELEC POWER,7,0,0,2,1,0,0,0,1,0,,0,3
83,1.775,INT J RES MARK,7,0,0,0,0,0,3,0,0,1,,0,3
84,3.000,J ACCOUNT RES,7,0,0,0,1,0,0,0,0,0,,0,6
85,5.727,J ECON PERSPECT,7,0,0,0,0,0,0,0,0,0,,0,7
86,2.284,J PEACE RES,7,0,0,1,0,1,1,2,1,0,,0,1
87,5.017,J PERS SOC PSYCHOL,7,0,0,0,0,0,0,0,0,0,,0,7
88, ,J R STAT SOC C-APPL,7,0,0,0,0,1,1,1,1,0,,0,3
89,1.683,M&SOM-MANUF SERV OP,7,0,1,1,1,0,0,0,0,1,,0,3
90, ,NBER MACROECON ANN,7,0,0,0,0,0,0,0,0,0,,0,7
91,2.454,ORGAN BEHAV HUM DEC,7,0,0,0,0,0,0,0,0,1,,0,6
92, ,THESIS,7,0,0,1,0,0,0,1,0,1,,0,4
93, ,WORKING PAP SERIES,7,0,0,1,2,0,0,1,0,0,,0,3
94, ,APPL FINANC EC,6,0,0,0,0,2,1,0,1,0,,0,2
95, ,COMPANION EC FORECAS,6,0,0,0,0,0,0,0,0,0,,2,4
96,2.802,DEMOGRAPHY,6,0,1,0,1,0,0,0,0,0,,0,4
97,0.795,FINANC ANAL J,6,0,0,0,0,0,0,0,0,0,,0,6
98, ,FORESIGHT,6,1,1,2,1,0,0,0,0,0,,0,1
99,0.975,INT J CENT BANK,6,0,0,0,1,0,0,1,0,0,,1,3
100,1.069,J HOUS ECON,6,0,0,0,0,0,0,1,0,0,,0,5
101, ,MON WEATHER REV,6,0,0,0,0,1,0,0,0,0,,0,5
102, ,NEURAL COMPUT,6,0,0,0,0,0,0,0,0,0,,0,6
103, ,NEUROCOMPUTING,6,0,0,0,1,0,0,0,0,1,,0,4
104, ,OPER RES QUART,6,0,0,0,0,0,0,0,0,0,,0,6
105, ,RENEW ENERG,6,0,1,0,0,2,0,0,1,0,,0,2
106, ,RENEW SUST ENERG REV,6,0,0,3,0,0,0,0,0,2,,0,1
107, ,STAT MED,6,0,0,0,1,0,0,0,0,0,,0,5
108, ,TECHNOMETRICS,6,0,0,0,0,0,1,0,0,0,,0,5
109, ,TIME SERIES ANAL STA,6,0,0,0,0,6,0,0,0,0,,0,0
110,2.909,AM ECON J-MACROECON,5,0,0,0,0,0,3,2,0,0,,0,0
111, ,ANNU REV STAT APPL,5,0,0,5,0,0,0,0,0,0,,0,0
112, ,APPL ENERG,5,0,0,0,1,3,1,0,0,0,,0,0
113, ,BIOMETRICS,5,0,0,0,0,0,0,0,1,0,,0,4
114, ,COMPUTATION STAT,5,0,3,0,0,0,0,1,0,1,,0,0
115, ,ECONOMETRICA J ECONO,5,0,0,0,0,0,0,0,0,0,,0,5
116,0.429,FED RESERVE BANK ST,5,0,0,0,0,0,0,1,1,0,,0,3
117, ,HBK ECON,5,0,0,0,5,0,0,0,0,0,,0,0
118, ,IEEE T NEUR NET LEAR,5,0,1,0,0,0,0,0,0,0,,0,4
119, ,IEEE T SUSTAIN ENERG,5,0,0,1,2,1,0,1,0,0,,0,0
120, ,INT J PROD ECON,5,0,0,1,0,0,0,2,0,0,,1,1
121,1.304,J ECON,5,0,0,0,0,0,1,0,0,1,,0,3
122,1.291,J FUTURES MARKETS,5,0,0,0,0,0,1,0,0,0,,0,4
123,0.615,MANCH SCH,5,0,0,0,0,0,1,0,0,1,,0,3
124, ,METHODOLOGY PRACTICE,5,0,0,0,0,0,0,0,5,0,,0,0
125, ,MODELING FORECASTING,5,0,0,0,0,0,0,0,0,0,,0,5
126,0.876,N AM J ECON FINANC,5,0,1,0,1,0,3,0,0,0,,0,0
127, ,NBER MACROECON ANNU,5,0,0,0,0,0,0,0,1,0,,0,4
128, ,OCEAN ENG,5,0,0,0,1,0,1,0,1,1,,0,1
129,1.038,POP STUD-J DEMOG,5,0,1,0,0,1,0,0,0,0,,0,3
130,0.960,QUANT FINANC,5,0,1,0,0,0,0,0,0,0,,0,4
131, ,R LANG ENV STAT COMP,5,0,3,1,0,1,0,0,0,0,,0,0
132,1.053,REV ECON DYNAM,5,0,0,0,0,0,1,0,0,0,,0,4
133, ,STAT SINICA,5,0,0,0,0,0,1,1,0,0,,0,3
134, ,**NON-TRADITIONAL**,4,0,0,0,0,0,0,0,0,0,,0,4
135,1.218,ACCOUNT HORIZ,4,0,0,0,0,0,0,0,0,0,,0,4
136, ,ADV ECONOMETRICS,4,0,0,0,1,0,0,0,0,1,,0,2
137,5.044,AM J POLIT SCI,4,0,0,0,0,0,0,1,0,0,,0,3
138, ,APPL STOCH MODEL BUS,4,0,0,0,1,0,0,0,1,0,,0,2
139,1.593,BROOKINGS PAP ECO AC,4,0,0,0,0,0,0,0,0,0,,0,4
140, ,BUS EC,4,0,0,0,1,2,0,0,0,0,,0,1
141, ,CLIMATIC CHANGE,4,0,1,1,1,0,0,1,0,0,,0,0
142, ,ECON REV,4,0,0,0,0,0,0,0,0,0,,0,4
143,4.140,ENERG POLICY,4,0,0,0,0,1,0,1,0,0,,1,1
144, ,ENERGY,4,0,0,2,0,0,1,0,0,0,,1,0
145,0.762,FINANC RES LETT,4,0,0,0,0,0,1,0,0,1,,1,1
146, ,FORECAST FORECASTING,4,1,0,3,0,0,0,0,0,0,,0,0
147, ,FORECASTING EXPONENT,4,0,0,0,0,0,0,0,0,4,,0,0
148, ,IEEE T SMAR IN PRESS,4,0,4,0,0,0,0,0,0,0,,0,0
149, ,IMF STAFF PAPERS,4,0,0,0,0,0,0,0,0,0,,0,4
150, ,INT STAT REV,4,0,0,0,0,0,2,0,0,1,,0,1
151, ,J APPL STAT,4,0,0,0,2,0,0,1,0,0,,0,1
152,2.947,J CONFLICT RESOLUT,4,0,0,1,0,1,0,0,0,0,,0,2
153,2.758,J EUR ECON ASSOC,4,0,0,0,0,0,0,2,0,2,,0,0
154, ,J MACH LEARN RES,4,0,0,0,0,1,0,0,0,0,,0,3
155, ,J MULTIVARIATE ANAL,4,0,0,0,0,1,0,0,0,1,,0,2
156, ,J PHYS OCEANOGR,4,0,0,0,0,0,0,0,0,0,,0,4
157,0.993,J POLICY MODEL,4,0,0,0,0,0,0,1,0,0,,0,3
158,0.650,J REAL ESTATE RES,4,0,0,0,0,0,0,1,0,0,,0,3
159,0.718,MACROECON DYN,4,0,0,0,0,0,0,0,0,0,,0,4
160, ,NBER WORKING PAPERS,4,0,0,0,1,0,1,1,0,1,,0,0
161, ,P IEEE,4,0,0,0,0,0,0,0,0,0,,0,4
162,1.756,REV ACCOUNT STUD,4,0,0,0,1,0,0,0,0,0,,0,3
163, ,STAT COMPUT,4,0,0,0,0,0,0,0,0,1,,0,3
164, ,STAT PROBABIL LETT,4,0,0,0,0,0,0,1,0,1,,1,1
165, ,ANN MATH STAT,3,0,0,0,0,0,0,0,0,0,,0,3
166,0.478,APPL ECON LETT,3,0,0,0,0,0,0,1,0,0,,1,1
167, ,ASTA-ADV STAT ANAL,3,0,0,1,0,1,0,0,0,0,,0,1
168, ,BAYESIAN STAT,3,0,0,0,0,0,0,0,0,0,,0,3
169,0.496,CAN J ECON,3,0,0,1,0,0,0,0,0,1,,0,1
170, ,CARNEGIE-ROCHESTER C,3,0,0,0,0,0,0,0,0,0,,0,3
171, ,CLASSIFICATION REGRE,3,0,0,0,0,0,0,0,0,0,,0,3
172, ,COMMUNICATION,3,0,0,0,0,2,0,0,0,1,,0,0
173, ,COMPUTATION IN PRESS,3,0,3,0,0,0,0,0,0,0,,0,0
174, ,DECIS SUPPORT SYST,3,0,0,0,1,0,0,0,0,1,,0,1
175, ,EC FORECASTS EXPECTA,3,0,0,0,0,0,0,0,0,0,,0,3
176, ,ECONOMETRIC ANAL,3,0,0,0,0,1,0,0,0,1,,0,1
177, ,ECONOMETRIC IN PRESS,3,0,2,0,0,0,0,0,0,0,,0,1
178, ,ECONOMETRICA JOURNAL,3,0,0,0,0,0,0,0,0,0,,0,3
179, ,ELECTR POW SYST RES,3,0,0,0,0,0,1,1,0,0,,0,1
180, ,ENERG CONVERS MANAGE,3,0,1,0,0,0,0,0,1,0,,0,1
181,1.236,EUR FINANC MANAG,3,0,0,0,0,0,0,0,1,0,,1,1
182,0.795,EUR J FINANC,3,0,0,0,0,1,0,0,0,0,,0,2
183,2.891,EUR J POLIT RES,3,0,0,0,0,0,0,0,0,0,,1,2
184, ,FDN TRENDS ECONOMETR,3,0,0,1,1,0,0,0,0,1,,0,0
185, ,FINANCE EC DISCUSSIO,3,0,1,0,0,0,0,0,0,1,,1,0
186, ,FORECASTING PRINCIPL,3,0,0,0,3,0,0,0,0,0,,0,0
187, ,FORECASTING STRUCT,3,0,0,0,0,0,0,0,0,0,,0,3
188, ,GEN ADDITIVE MODELS,3,0,0,0,0,0,0,0,0,0,,0,3
189, ,HANDB ECONOMETRICS,3,0,0,0,0,0,0,0,0,0,,1,2
190,1.738,J BEHAV DECIS MAKING,3,0,0,0,0,0,0,0,0,0,,0,3
191, ,J BUS CYCLE MEA,3,0,1,0,0,0,0,1,0,0,,0,1
192, ,J CLIMATE,3,0,0,0,0,0,2,0,0,1,,0,0
193,2.667,J EXP PSYCHOL LEARN,3,0,0,0,1,0,1,0,0,0,,0,1
194, ,J KOREAN STAT SOC,3,0,0,0,0,0,1,0,2,0,,0,0
195,5.318,J MARKETING,3,0,0,0,1,0,0,0,0,0,,0,2
196,0.410,J PORTFOLIO MANAGE,3,0,0,0,0,0,0,0,1,0,,0,2
197, ,J STAT PLAN INFER,3,0,0,0,0,0,0,1,0,2,,0,0
198,1.904,J URBAN ECON,3,0,0,0,0,0,0,0,0,0,,0,3
199, ,JOURNAL OF BUSINESS,3,0,0,2,0,0,0,0,0,0,,0,1
200,0.393,JPN ECON REV,3,0,0,1,0,2,0,0,0,0,,0,0
201,0.489,JPN WORLD ECON,3,0,0,0,0,0,0,0,0,0,,2,1
202, ,LIKELIHOOD BASED INF,3,0,0,0,0,0,0,0,0,0,,0,3
203, ,MODELLING FINANC,3,0,0,0,0,0,0,0,0,0,,0,3
204, ,NEURAL NETWORK DESIG,3,0,0,1,0,0,0,0,0,0,,0,2
205, ,NEURAL NETWORKS,3,0,0,0,0,0,0,0,0,0,,0,3
206,0.760,OXFORD ECON PAP,3,0,0,0,0,0,0,0,0,0,,0,3
207,1.194,OXFORD REV ECON POL,3,0,0,0,0,0,1,0,0,0,,0,2
208, ,PRINCIPLES FORECASTI,3,0,0,0,0,0,0,0,0,0,,0,3
209, ,PROBAB THEORY REL,3,0,0,0,0,0,0,1,1,0,,1,0
